Date,Country,AreaCode,Area,TotalCases
2020-02-15,Wales,W11000029,Cardiff and Vale,1
2020-02-15,Wales,W11000030,Cwm Taf,1
2020-02-15,Wales,W11000025,Hywel Dda,0
2020-02-15,Wales,,Outside Wales,0
2020-02-15,Wales,W11000024,Powys,0
2020-02-15,Wales,W11000031,Swansea Bay,0
2020-02-15,Wales,,Unknown,0
2020-02-16,England,E09000003,Barnet,1
2020-02-16,Wales,W11000028,Aneurin Bevan,1
2020-02-16,Wales,W11000023,Betsi Cadwaladr,0
2020-02-16,Wales,W11000029,Cardiff and Vale,1
2020-02-16,Wales,W11000030,Cwm Taf,1
2020-02-16,Wales,W11000025,Hywel Dda,0
2020-02-16,Wales,,Outside Wales,0
2020-02-16,Wales,W11000024,Powys,0
2020-02-16,Wales,W11000031,Swansea Bay,0
2020-02-16,Wales,,Unknown,0
2020-02-17,England,E09000010,Enfield,1
2020-02-17,Wales,W11000028,Aneurin Bevan,1
2020-02-17,Wales,W11000023,Betsi Cadwaladr,0
2020-02-17,Wales,W11000029,Cardiff and Vale,1
2020-02-17,Wales,W11000030,Cwm Taf,1
2020-02-17,Wales,W11000025,Hywel Dda,0
2020-02-17,Wales,,Outside Wales,0
2020-02-17,Wales,W11000024,Powys,0
2020-02-17,Wales,W11000031,Swansea Bay,0
2020-02-17,Wales,,Unknown,0
2020-02-18,Wales,W11000028,Aneurin Bevan,1
2020-02-18,Wales,W11000023,Betsi Cadwaladr,0
2020-02-18,Wales,W11000029,Cardiff and Vale,1
2020-02-18,Wales,W11000030,Cwm Taf,1
2020-02-18,Wales,W11000025,Hywel Dda,0
2020-02-18,Wales,,Outside Wales,0
2020-02-18,Wales,W11000024,Powys,0
2020-02-18,Wales,W11000031,Swansea Bay,0
2020-02-18,Wales,,Unknown,0
2020-02-19,England,E09000012,Hackney,1
2020-02-19,Wales,W11000028,Aneurin Bevan,1
2020-02-19,Wales,W11000023,Betsi Cadwaladr,0
2020-02-19,Wales,W11000029,Cardiff and Vale,1
2020-02-19,Wales,W11000030,Cwm Taf,1
2020-02-19,Wales,W11000025,Hywel Dda,0
2020-02-19,Wales,,Outside Wales,0
2020-02-19,Wales,W11000024,Powys,0
2020-02-19,Wales,W11000031,Swansea Bay,0
2020-02-19,Wales,,Unknown,0
2020-02-20,Wales,W11000028,Aneurin Bevan,1
2020-02-20,Wales,W11000023,Betsi Cadwaladr,0
2020-02-20,Wales,W11000029,Cardiff and Vale,1
2020-02-20,Wales,W11000030,Cwm Taf,1
2020-02-20,Wales,W11000025,Hywel Dda,0
2020-02-20,Wales,,Outside Wales,0
2020-02-20,Wales,W11000024,Powys,0
2020-02-20,Wales,W11000031,Swansea Bay,0
2020-02-20,Wales,,Unknown,0
2020-02-21,England,E10000024,Nottinghamshire,1
2020-02-21,Wales,W11000028,Aneurin Bevan,1
2020-02-21,Wales,W11000023,Betsi Cadwaladr,0
2020-02-21,Wales,W11000029,Cardiff and Vale,1
2020-02-21,Wales,W11000030,Cwm Taf,1
2020-02-21,Wales,W11000025,Hywel Dda,1
2020-02-21,Wales,,Outside Wales,0
2020-02-21,Wales,W11000024,Powys,0
2020-02-21,Wales,W11000031,Swansea Bay,0
2020-02-21,Wales,,Unknown,0
2020-02-22,Wales,W11000028,Aneurin Bevan,1
2020-02-22,Wales,W11000023,Betsi Cadwaladr,0
2020-02-22,Wales,W11000029,Cardiff and Vale,1
2020-02-22,Wales,W11000030,Cwm Taf,1
2020-02-22,Wales,W11000025,Hywel Dda,1
2020-02-22,Wales,,Outside Wales,0
2020-02-22,Wales,W11000024,Powys,0
2020-02-22,Wales,W11000031,Swansea Bay,0
2020-02-22,Wales,,Unknown,0
2020-02-23,England,E09000019,Islington,1
2020-02-23,England,E06000042,Milton Keynes,1
2020-02-23,England,E09000026,Redbridge,1
2020-02-23,England,E10000031,Warwickshire,1
2020-02-23,Wales,W11000028,Aneurin Bevan,1
2020-02-23,Wales,W11000023,Betsi Cadwaladr,0
2020-02-23,Wales,W11000029,Cardiff and Vale,1
2020-02-23,Wales,W11000030,Cwm Taf,1
2020-02-23,Wales,W11000025,Hywel Dda,2
2020-02-23,Wales,,Outside Wales,0
2020-02-23,Wales,W11000024,Powys,1
2020-02-23,Wales,W11000031,Swansea Bay,0
2020-02-23,Wales,,Unknown,0
2020-02-24,England,E10000032,West Sussex,1
2020-02-24,Wales,W11000028,Aneurin Bevan,1
2020-02-24,Wales,W11000023,Betsi Cadwaladr,0
2020-02-24,Wales,W11000029,Cardiff and Vale,1
2020-02-24,Wales,W11000030,Cwm Taf,1
2020-02-24,Wales,W11000025,Hywel Dda,2
2020-02-24,Wales,,Outside Wales,0
2020-02-24,Wales,W11000024,Powys,1
2020-02-24,Wales,W11000031,Swansea Bay,0
2020-02-24,Wales,,Unknown,0
2020-02-25,England,E10000007,Derbyshire,1
2020-02-25,England,E09000028,Southwark,2
2020-02-25,England,E10000030,Surrey,1
2020-02-25,Wales,W11000028,Aneurin Bevan,1
2020-02-25,Wales,W11000023,Betsi Cadwaladr,0
2020-02-25,Wales,W11000029,Cardiff and Vale,1
2020-02-25,Wales,W11000030,Cwm Taf,1
2020-02-25,Wales,W11000025,Hywel Dda,2
2020-02-25,Wales,,Outside Wales,0
2020-02-25,Wales,W11000024,Powys,1
2020-02-25,Wales,W11000031,Swansea Bay,0
2020-02-25,Wales,,Unknown,0
2020-02-26,England,E10000013,Gloucestershire,1
2020-02-26,Wales,W11000028,Aneurin Bevan,1
2020-02-26,Wales,W11000023,Betsi Cadwaladr,0
2020-02-26,Wales,W11000029,Cardiff and Vale,1
2020-02-26,Wales,W11000030,Cwm Taf,1
2020-02-26,Wales,W11000025,Hywel Dda,2
2020-02-26,Wales,,Outside Wales,0
2020-02-26,Wales,W11000024,Powys,1
2020-02-26,Wales,W11000031,Swansea Bay,0
2020-02-26,Wales,,Unknown,0
2020-02-27,England,E10000014,Hampshire,1
2020-02-27,England,E09000020,Kensington and Chelsea,1
2020-02-27,England,E10000018,Leicestershire,1
2020-02-27,England,E06000035,Medway,1
2020-02-27,England,E06000041,Wokingham,1
2020-02-27,Wales,W11000028,Aneurin Bevan,1
2020-02-27,Wales,W11000023,Betsi Cadwaladr,0
2020-02-27,Wales,W11000029,Cardiff and Vale,1
2020-02-27,Wales,W11000030,Cwm Taf,1
2020-02-27,Wales,W11000025,Hywel Dda,2
2020-02-27,Wales,,Outside Wales,0
2020-02-27,Wales,W11000024,Powys,1
2020-02-27,Wales,W11000031,Swansea Bay,0
2020-02-27,Wales,,Unknown,0
2020-02-28,England,E09000003,Barnet,2
2020-02-28,England,E09000005,Brent,1
2020-02-28,England,E06000011,East Riding of Yorkshire,1
2020-02-28,England,E10000012,Essex,1
2020-02-28,England,E09000018,Hounslow,1
2020-02-28,England,E09000020,Kensington and Chelsea,2
2020-02-28,England,E08000035,Leeds,1
2020-02-28,England,E06000018,Nottingham,1
2020-02-28,England,E09000028,Southwark,3
2020-02-28,England,E10000030,Surrey,2
2020-02-28,England,E08000010,Wigan,1
2020-02-28,Wales,W11000028,Aneurin Bevan,1
2020-02-28,Wales,W11000023,Betsi Cadwaladr,0
2020-02-28,Wales,W11000029,Cardiff and Vale,1
2020-02-28,Wales,W11000030,Cwm Taf,1
2020-02-28,Wales,W11000025,Hywel Dda,2
2020-02-28,Wales,,Outside Wales,0
2020-02-28,Wales,W11000024,Powys,1
2020-02-28,Wales,W11000031,Swansea Bay,0
2020-02-28,Wales,,Unknown,0
2020-02-29,England,E09000021,Kingston upon Thames,1
2020-02-29,England,E10000021,Northamptonshire,1
2020-02-29,England,E08000019,Sheffield,1
2020-02-29,Wales,W11000028,Aneurin Bevan,1
2020-02-29,Wales,W11000023,Betsi Cadwaladr,0
2020-02-29,Wales,W11000029,Cardiff and Vale,1
2020-02-29,Wales,W11000030,Cwm Taf,1
2020-02-29,Wales,W11000025,Hywel Dda,2
2020-02-29,Wales,,Outside Wales,0
2020-02-29,Wales,W11000024,Powys,1
2020-02-29,Wales,W11000031,Swansea Bay,0
2020-02-29,Wales,,Unknown,0
2020-03-01,England,E09000002,Barking and Dagenham,1
2020-03-01,England,E09000003,Barnet,3
2020-03-01,England,E08000025,Birmingham,1
2020-03-01,England,E08000001,Bolton,1
2020-03-01,England,E08000032,Bradford,1
2020-03-01,England,E09000006,Bromley,1
2020-03-01,England,E10000002,Buckinghamshire,1
2020-03-01,England,E08000002,Bury,3
2020-03-01,England,E09000009,Ealing,2
2020-03-01,England,E10000013,Gloucestershire,2
2020-03-01,England,E10000015,Hertfordshire,4
2020-03-01,England,E09000018,Hounslow,2
2020-03-01,England,E06000010,"Kingston upon Hull, City of",1
2020-03-01,England,E10000017,Lancashire,2
2020-03-01,England,E08000035,Leeds,2
2020-03-01,England,E10000018,Leicestershire,2
2020-03-01,England,E09000024,Merton,1
2020-03-01,England,E08000019,Sheffield,2
2020-03-01,England,E08000007,Stockport,1
2020-03-01,England,E08000030,Walsall,1
2020-03-01,England,E09000032,Wandsworth,1
2020-03-01,England,E10000032,West Sussex,3
2020-03-01,England,E09000033,Westminster,1
2020-03-01,England,E06000054,Wiltshire,1
2020-03-01,England,E08000015,Wirral,1
2020-03-01,Wales,W11000028,Aneurin Bevan,1
2020-03-01,Wales,W11000023,Betsi Cadwaladr,0
2020-03-01,Wales,W11000029,Cardiff and Vale,2
2020-03-01,Wales,W11000030,Cwm Taf,1
2020-03-01,Wales,W11000025,Hywel Dda,2
2020-03-01,Wales,,Outside Wales,0
2020-03-01,Wales,W11000024,Powys,1
2020-03-01,Wales,W11000031,Swansea Bay,0
2020-03-01,Wales,,Unknown,0
2020-03-02,England,E08000016,Barnsley,2
2020-03-02,England,E08000025,Birmingham,2
2020-03-02,England,E09000007,Camden,2
2020-03-02,England,E06000050,Cheshire West and Chester,1
2020-03-02,England,E06000052,Cornwall and Isles of Scilly,1
2020-03-02,England,E10000007,Derbyshire,3
2020-03-02,England,E10000008,Devon,5
2020-03-02,England,E09000009,Ealing,3
2020-03-02,England,E09000017,Hillingdon,1
